Location,Entry Id,Created Date,Action,Amount,Cash Drawer,Payout Reason,No Sale Reason,Comment,Employee,Employee 2
1234 Elmwood Avenue,900000004019194181,4/10/24 4:28 PM,CASH_PAYMENT,2.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004019557023,4/10/24 4:42 PM,CASH_PAYMENT,2.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004020071538,4/10/24 5:01 PM,CASH_PAYMENT,11.69,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004020133401,4/10/24 5:04 PM,CASH_PAYMENT,23.25,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004021389544,4/10/24 5:43 PM,CASH_PAYMENT,3.5,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004022192479,4/10/24 6:07 PM,CASH_PAYMENT,4.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004023288583,4/10/24 6:39 PM,CASH_PAYMENT,35.56,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004024085554,4/10/24 7:03 PM,CASH_PAYMENT,30.45,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004024145320,4/10/24 7:05 PM,CASH_PAYMENT,6.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004024413420,4/10/24 7:14 PM,CASH_PAYMENT,2.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004024444765,4/10/24 7:15 PM,CASH_PAYMENT,32.28,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004024930433,4/10/24 7:31 PM,CASH_PAYMENT,3.5,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004024951028,4/10/24 7:32 PM,CASH_PAYMENT,2.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004025083766,4/10/24 7:36 PM,CASH_PAYMENT,23.91,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004025163588,4/10/24 7:39 PM,CASH_PAYMENT,2.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004025771110,4/10/24 8:01 PM,CASH_PAYMENT,2.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004025778903,4/10/24 8:02 PM,CASH_PAYMENT,3.5,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004025888771,4/10/24 8:06 PM,CASH_PAYMENT,6.38,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004025906443,4/10/24 8:07 PM,CASH_PAYMENT,9.56,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004025931634,4/10/24 8:08 PM,CASH_PAYMENT,2.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004026114268,4/10/24 8:15 PM,CASH_PAYMENT,11.69,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004026144007,4/10/24 8:16 PM,CASH_PAYMENT,3.5,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004026244192,4/10/24 8:21 PM,CASH_PAYMENT,6.91,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004026454071,4/10/24 8:30 PM,CASH_PAYMENT,5.84,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004026573950,4/10/24 8:35 PM,CASH_PAYMENT,2.0,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004026952913,4/10/24 8:53 PM,CASH_PAYMENT,2.75,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004027430649,4/10/24 9:21 PM,CASH_PAYMENT,3.5,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004027462766,4/10/24 9:23 PM,CASH_PAYMENT,10.5,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004027883539,4/10/24 9:52 PM,CASH_PAYMENT,3.75,Bar-1 Receipt,,,Cash payment,Bartender A,
1234 Elmwood Avenue,900000004028246086,4/10/24 10:26 PM,TIP_OUT,-11.39,Bar-1 Receipt,,,Tips paid out from shift review.,Bartender A,Bartender A
