Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Modifier Id,Master Id,Modifier SKU,Modifier PLU,Modifier,Option Group ID,Option Group Name,Parent Menu Selection Item ID,Parent Menu Selection,Sales Category,Gross Price,Discount,Net Price,Qty,Void?,Void Reason ID,Void Reason
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:27 PM,4/10/24 4:26 PM,900000004019159010,Bartender A,,,Dinner,,900000004019157144,9.000000000690304e+17,9.000000000690304e+17,,,A.T.T.,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:27 PM,4/10/24 4:26 PM,900000004019159010,Bartender A,,,Dinner,,900000004019157147,9.00000000019805e+17,9.00000000019805e+17,,,MAYO,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:27 PM,4/10/24 4:26 PM,900000004019159010,Bartender A,,,Dinner,,900000004019157148,9.00000000019805e+17,9.00000000019805e+17,,,P,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:27 PM,4/10/24 4:26 PM,900000004019159010,Bartender A,,,Dinner,,900000004019159001,9.000000000198427e+17,9.000000000198427e+17,,,RANCH,9.000000000198414e+17,Dipping Sauce,900000000055263913,Cheese Curds,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021781198,9.00000000019805e+17,9.00000000019805e+17,,,MAYO,9.00000000019797e+17,Sandwich Toppings,900000000019755904,Bacon Cheese Burger,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021781199,9.000000000338474e+17,9.000000000338474e+17,,,Swiss,9.000000000338367e+17,Cheese Choice,900000000019755904,Bacon Cheese Burger,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783854,9.000000000677722e+17,9.000000000677722e+17,,,Ranch,9.000000000677683e+17,Sauce,900000000213998188,Onion Rings,,0.75,0.0,0.75,1.0,False,,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783857,9.000000011337288e+17,9.000000011337288e+17,,,Mild Taco Sauce,9.000000011336943e+17,Taco Sauce,900000001133620863,Fried Beef Tacos,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783858,9.000000011336605e+17,9.000000011336605e+17,,,2 Tacos,9.000000011336605e+17,Size,900000001133620863,Fried Beef Tacos,,5.5,0.0,5.5,1.0,False,,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783859,9.000000000227158e+17,9.000000000227158e+17,,,Sour Cream,9.000000011338575e+17,Taco Extras,900000001133620863,Fried Beef Tacos,,0.5,0.0,0.5,1.0,False,,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783862,9.000000011337288e+17,9.000000011337288e+17,,,Mild Taco Sauce,9.000000011336943e+17,Taco Sauce,900000001133620863,Fried Beef Tacos,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783863,9.000000011336605e+17,9.000000011336605e+17,,,3 Tacos,9.000000011336605e+17,Size,900000001133620863,Fried Beef Tacos,,7.0,0.0,7.0,1.0,False,,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783864,9.000000000227158e+17,9.000000000227158e+17,,,Sour Cream,9.000000011338575e+17,Taco Extras,900000001133620863,Fried Beef Tacos,,0.5,0.0,0.5,1.0,False,,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:04 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004022107741,9.000000011337288e+17,9.000000011337288e+17,,,Mild Taco Sauce,9.000000011336943e+17,Taco Sauce,900000001133620863,Fried Beef Tacos,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:04 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004022107742,9.000000011336605e+17,9.000000011336605e+17,,,2 Tacos,9.000000011336605e+17,Size,900000001133620863,Fried Beef Tacos,,5.5,0.0,5.5,1.0,False,,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:04 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004022107745,9.000000000226191e+17,9.000000000226191e+17,,,Buffalo,9.00000000022619e+17,Wing Sauce,900000000019694091,Wings,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:04 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004022107746,,,,,Buff On Side,,,900000000019694091,Wings,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:04 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004022107747,9.000000000198427e+17,9.000000000198427e+17,,,Blue Cheese,9.000000000198414e+17,Dipping Sauce,900000000019694091,Wings,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:04 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004022107748,9.000000000198427e+17,9.000000000198427e+17,,,RANCH,9.000000000198414e+17,Dipping Sauce,900000000019694091,Wings,,0.75,0.0,0.75,1.0,False,,
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520252,9.00000000019805e+17,9.00000000019805e+17,,,L,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520253,9.00000000019805e+17,9.00000000019805e+17,,,T,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520254,9.000000000681802e+17,9.000000000681802e+17,,,K,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520255,9.00000000019805e+17,9.00000000019805e+17,,,O,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520256,9.00000000019805e+17,9.00000000019805e+17,,,P,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520259,9.000000000677722e+17,9.000000000677722e+17,,,Ranch,9.000000000677683e+17,Sauce,900000000019711890,Curly Fries,,0.75,0.0,0.75,1.0,False,,
