Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,4.198,90.0,0.0,377.82,0.0,89.0,369.82,1.0,8.0,11.0,358.82,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,Soft Drinks,,,,,1.4954545454545454,11.0,0.1222222222222222,16.45,0.0435392514954211,11.0,16.45,0.0,0.0,0.0,16.45,5,0.15625,0.0,0.0,0.1235955056179775,0.0,0.0,0.0458447132266874
9.00000000019634e+17,9.00000000019634e+17,,Soft Drinks,Soft Drinks,,,,1.5,11.0,1.0,16.45,1.0,11.0,16.45,0.0,0.0,0.0,16.45,6,1.2,0.0,1.0,0.1235955056179775,0.0,1.0,0.0458447132266874
9.000000000196406e+17,9.000000000196406e+17,9.00000000019634e+17,Soft Drinks,Soft Drinks,,Pepsi,,2.35,3.0,0.2727272727272727,7.05,0.4285714285714286,3.0,7.05,0.0,0.0,0.0,7.05,3,0.5,0.2727272727272727,0.2727272727272727,0.0337078651685393,0.4285714285714286,0.4285714285714286,0.0196477342400089
9.000000000334144e+17,9.000000000334144e+17,9.00000000019634e+17,Soft Drinks,Soft Drinks,,Tea - Sweet,,2.35,2.0,0.1818181818181818,4.7,0.2857142857142857,2.0,4.7,0.0,0.0,0.0,4.7,2,0.3333333333333333,0.1818181818181818,0.1818181818181818,0.0224719101123595,0.2857142857142857,0.2857142857142857,0.0130984894933392
9.000000000334144e+17,9.000000000334144e+17,9.00000000019634e+17,Soft Drinks,Soft Drinks,,Tea - Unsweet,,2.35,2.0,0.1818181818181818,4.7,0.2857142857142857,2.0,4.7,0.0,0.0,0.0,4.7,2,0.3333333333333333,0.1818181818181818,0.1818181818181818,0.0224719101123595,0.2857142857142857,0.2857142857142857,0.0130984894933392
9.000000015784055e+17,9.000000015784055e+17,9.00000000019634e+17,Soft Drinks,Soft Drinks,Kids Drinks,,,0.0,4.0,0.3636363636363636,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2,0.3333333333333333,0.0,0.3636363636363636,0.0449438202247191,0.0,0.0,0.0
9.00000000036424e+17,9.00000000036424e+17,9.000000015784055e+17,Soft Drinks,Soft Drinks,Kids Drinks,Water,,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.3636363636363636,0.0449438202247191,0.0,0.0,0.0
,,,Food,,,,,6.364583333333333,24.0,0.2666666666666666,152.75,0.4042930496003388,23.0,144.75,1.0,8.0,11.0,133.75,9,0.28125,0.0,0.0,0.2584269662921348,0.0,0.0,0.372749568028538
9.000000000228362e+17,9.000000000228362e+17,,Food,Main Dishes,,,,6.91,14.0,0.5833333333333334,96.75,0.6333878887070377,14.0,96.75,0.0,0.0,7.0,89.75,7,0.7777777777777778,0.0,0.6086956521739131,0.1573033707865168,0.0,0.6710280373831776,0.2501254110696171
9.000000000197559e+17,9.000000000197559e+17,9.000000000228362e+17,Food,Main Dishes,,Cheeseburger,,5.0,3.0,0.2142857142857142,15.0,0.1550387596899224,3.0,15.0,0.0,0.0,0.0,15.0,3,0.4285714285714285,0.2142857142857142,0.1304347826086956,0.0337078651685393,0.1671309192200557,0.1121495327102803,0.0418036898723594
9.000000000197559e+17,9.000000000197559e+17,9.000000000228362e+17,Food,Main Dishes,,Bacon Cheese Burger,,6.5,2.0,0.1428571428571428,13.0,0.1343669250645995,2.0,13.0,0.0,0.0,0.0,13.0,2,0.2857142857142857,0.1428571428571428,0.0869565217391304,0.0224719101123595,0.1448467966573816,0.0971962616822429,0.0362298645560448
9.000000000197559e+17,9.000000000197559e+17,9.000000000228362e+17,Food,Main Dishes,,Tenderloin,,7.6,5.0,0.3571428571428571,38.0,0.3927648578811369,5.0,38.0,0.0,0.0,7.0,31.0,4,0.5714285714285714,0.3571428571428571,0.217391304347826,0.0561797752808988,0.3454038997214484,0.2317757009345794,0.086394292402876
9.000000000196941e+17,9.000000000196941e+17,9.000000000228362e+17,Food,Main Dishes,,Wings,,8.75,1.0,0.0714285714285714,8.75,0.0904392764857881,1.0,8.75,0.0,0.0,0.0,8.75,1,0.1428571428571428,0.0714285714285714,0.0434782608695652,0.0112359550561797,0.0974930362116991,0.0654205607476635,0.0243854857588763
9.000000000196941e+17,9.000000000196941e+17,9.000000000228362e+17,Food,Main Dishes,,Boneless Wings,,7.0,2.0,0.1428571428571428,14.0,0.1447028423772609,2.0,14.0,0.0,0.0,0.0,14.0,1,0.1428571428571428,0.1428571428571428,0.0869565217391304,0.0224719101123595,0.1559888579387186,0.1046728971962616,0.0390167772142021
9.000000000360666e+17,9.000000000360666e+17,9.000000000228362e+17,Food,Main Dishes,,House Salad,,8.0,1.0,0.0714285714285714,8.0,0.082687338501292,1.0,8.0,0.0,0.0,0.0,8.0,1,0.1428571428571428,0.0714285714285714,0.0434782608695652,0.0112359550561797,0.0891364902506963,0.0598130841121495,0.0222953012652583
