Customer Id,Customer,Customer Phone,Customer Email,Location Code,Opened Date,Opened Time,Item Description,Server,Tax,Tender,Check Id,Check #,Total,Customer Family,Table Size,Discount,Reason of Discount,Link
,,,,,4/10/24,4:27 PM,"Tenderloin, Tenderloin, Cheese Curds",Bartender A,0.69,Cash,900000004019159010,1,11.69,,1,11.0,Employee Discount - Check (50.00%),http://www.toasttab.com/receipts/zFAL5xUfLveDnRh3/yYBPtztIyXfP2JuX
,,,,,4/10/24,4:28 PM,"Keystone Light, Can",Bartender A,0.12,Cash,900000004019190488,2,2.0,,1,0.0,,http://www.toasttab.com/receipts/uL4zg76If9qgDZsl/73zj8OcXLxECm5i7
,,,,,4/10/24,4:42 PM,"Keystone Light, Can",Bartender A,0.12,Cash,900000004019557062,3,2.0,,1,0.0,,http://www.toasttab.com/receipts/K9cKYm1sd7Jsj4OW/tEL9QPAeiSz39l8m
,,,,,4/10/24,5:01 PM,"Keystone Light, Can, Barefoot Singles, Guiness Nitro Draft, Barefoot Singles, Busch Light, Draft, Barefoot Singles",Bartender A,1.37,Cash,900000004020053804,4,23.25,,1,0.0,,http://www.toasttab.com/receipts/pfWwArBsgz0sPvym/xqb0vYcLYS7Y0lEx
,,,,,4/10/24,5:43 PM,"Busch Light, Draft",Bartender A,0.21,Cash,900000004021390074,6,3.5,,1,0.0,,http://www.toasttab.com/receipts/v0Hi768i5Kg6RWO8/IHMFqQVPfKwZeNev
,,,,,4/10/24,5:50 PM,"Pepsi, Water, Tea - Sweet, Bacon Cheese Burger, Onion Rings, Fried Beef Tacos, Fried Beef Tacos, Chips & Salsa",Bartender A,2.11,Cash,900000004021631622,7,35.56,,1,0.0,,http://www.toasttab.com/receipts/5fRBS8TOgqRYmn74/5yusLUkrWG1wsA9z
,,,,,4/10/24,6:00 PM,"Busch Light, Draft, Tea - Unsweet, Fried Beef Tacos, Wings, Cheeseburger, Shiner Bock, Bottle",Bartender A,1.8,Cash,900000004021964266,8,30.45,,1,0.0,,http://www.toasttab.com/receipts/u9sc5y2OOVDYw2ea/PsutCP1QLFA9OCYF
,,,,,4/10/24,6:07 PM,Blue Moon,Bartender A,0.24,Cash,900000004022191857,9,4.0,,1,0.0,,http://www.toasttab.com/receipts/cZwFAVmiSky6lnJn/b5R7nrr27KNTjnFO
,,,,,4/10/24,6:16 PM,"Busch Light, Bottle, Busch Light, Bottle, Tenderloin, Curly Fries, Cheeseburger, Onion Rings, Busch Light, Bottle",Bartender A,1.91,Cash,900000004022520271,11,32.28,,1,0.0,,http://www.toasttab.com/receipts/MfqrWeuVNJubcPFj/q1ARg4sIvsismwbW
,,,,,4/10/24,6:47 PM,"Pepsi, Busch Light, Can, House Salad, Fried Mushrooms, Bacon Cheese Burger, Tater Tots",Bartender A,1.85,Amex,900000004023552886,12,37.18,,1,0.0,,http://www.toasttab.com/receipts/H8ealVZxzovpipCm/1ZBt4jhnL0EFDWHu
,,,,,4/10/24,6:48 PM,"Tea - Unsweet, Pepsi, Tea - Sweet, Boneless Wings, Boneless Wings, Tenderloin",Bartender A,1.95,Visa,900000004023591929,13,33.0,,1,0.0,,http://www.toasttab.com/receipts/MXLirREEl6fkn6Rn/lggwqvLpkpNGntpv
,,,,,4/10/24,7:05 PM,"Shiner Bock, Bottle, Old Milwaukee Light, Can",Bartender A,0.36,Cash,900000004024146130,14,6.0,,1,0.0,,http://www.toasttab.com/receipts/mmuN6jq910qOZsEG/FBgTtmsrqHSelU2V
